Tahun;Kota;Bahan Makanan;Makanan Jadi;Perumahan;Sandang;Kesehatan;Pendidikan, Rekreasi & Olahraga;Transpor & komunikasi;Umum
2013;Banda Aceh;11.82;5.05;2.86;-0.82;2.90;4.33;10.85;6.39
2013;Lhokseumawe;18.39;2.75;2.60;0.25;2.26;4.64;10.81;8.27
2013;Meulaboh;;;;;;;;
2013;Aceh;15.04;3.94;2.73;-0.36;2.63;4.49;10.83;7.31
2013;Nasional;11.35;7.45;6.22;0.52;3.70;3.91;15.36;8.38
Januari 2014;Banda Aceh;4.98;0.08;2.00;0.80;0.13;0.41;0.68;1.85
Januari 2014;Lhokseumawe;5.89;0.57;2.40;0.59;0.36;0.23;0.24;2.42
Januari 2014;Meulaboh;0.57;1.34;4.45;2.07;1.57;2.21;0.91;2.67
Januari 2014;Aceh;4.76;0.68;2.71;1.32;0.57;0.86;0.56;2.23
Januari 2014;Nasional;2.77;0.72;1.01;0.55;0.72;0.28;0.20;1.07
Februari 2014;Banda Aceh;-2.15;0.15;-0.21;0.44;0.00;0.33;0.04;-0.45
Februari 2014;Lhokseumawe;-3.19;0.08;-0.04;0.35;0.00;0.27;0.07;-0.88
Februari 2014;Meulaboh;-5.22;0.44;-0.97;1.10;0.37;0.63;0.61;-1.28
Februari 2014;Aceh;-3.51;0.26;-0.36;0.73;0.10;0.40;0.18;-0.84
Februari 2014;Nasional;0.36;0.43;0.17;0.57;0.28;0.17;0.15;0.26
Maret 2014;Banda Aceh;-3.43;0.40;0.26;0.41;0.10;0.86;0.10;-0.52
Maret 2014;Lhokseumawe;-3.02;0.40;0.07;-0.06;0.00;0.00;0.07;-0.77
Maret 2014;Meulaboh;-3.87;0.82;0.28;-0.08;0.13;0.54;0.21;-0.73
Maret 2014;Aceh;-3.44;0.59;0.21;0.06;0.08;0.51;0.12;-0.65
Maret 2014;Nasional;-0.44;0.43;0.16;0.08;0.41;0.14;0.24;0.08
Apr-14;Banda Aceh;-1.82;0.01;0.15;-0.41;0.33;0.30;1.02;-0.15
Apr-14;Lhokseumawe;-1.50;1.22;0.85;-0.36;0.21;0.17;0.00;-0.01
Apr-14;Meulaboh;-0.75;0.06;-0.07;0.55;1.31;0.20;0.08;-0.06
Apr-14;Aceh;-1.37;0.32;0.28;0.06;0.58;0.23;0.57;-0.08
Apr-14;Nasional;-1.09;0.45;0.25;-0.25;0.61;0.24;0.20;-0.02
Mei 2014;Banda Aceh;3.91;0.00;0.13;0.15;0.08;0.05;-0.01;0.86
Mei 2014;Lhokseumawe;3.29;0.45;0.23;1.07;-0.07;-0.07;0.22;1.16
Mei 2014;Meulaboh;-0.57;0.06;0.96;2.62;0.03;-0.06;0.22;0.42
Mei 2014;Aceh;2.30;0.14;0.37;1.57;0.02;-0.02;0.10;0.80
Mei 2014;Nasional;-0.15;0.35;0.23;0.12;0.41;0.07;0.21;0.16
Juni 2014;Banda Aceh;1.06;0.23;0.14;1.31;0.04;-0.02;0.02;0.40
Juni 2014;Lhokseumawe;-0.55;0.09;0.14;2.57;0.12;0.00;0.39;0.17
Juni 2014;Meulaboh;0.23;0.00;0.55;-0.16;-0.02;1.10;0.19;0.20
Juni 2014;Aceh;0.28;0.10;0.25;0.91;0.04;0.31;0.14;0.27
Juni 2014;Nasional;0.99;0.32;0.38;0.30;0.36;0.08;0.21;0.43
Juli 2014;Banda Aceh;3.97;0.31;0.25;3.00;0.19;1.10;0.04;1.23
Juli 2014;Lhokseumawe;3.70;0.12;0.68;2.02;0.45;0.52;-0.77;1.34
Juli 2014;Meulaboh;5.13;0.15;1.29;5.32;0.00;2.77;0.10;2.41
Juli 2014;Aceh;4.93;-2.18;-0.04;-0.18;-0.67;0.79;-0.62;0.73
Juli 2014;Nasional;1.94;1.00;0.45;0.85;0.39;0.45;0.88;0.93
Agustus 2014;Banda Aceh;-1.28;-0.01;0.43;-0.48;0.25;0.00;1.36;0.06
Agustus 2014;Lhokseumawe;-0.18;0.21;0.76;-0.03;0.00;1.29;0.36;0.27
Agustus 2014;Meulaboh;1.35;0.88;-0.30;0.11;0.02;-0.66;2.23;0.68
Agustus 2014;Aceh;-0.64;0.17;0.43;-0.27;0.15;0.29;1.19;0.21
Agustus 2014;Nasional;0.36;0.52;0.73;0.23;0.33;1.58;-0.12;0.47
Sep-14;Banda Aceh;0.84;0.30;0.81;-0.46;0.13;0.00;0.19;0.47
Sep-14;Lhokseumawe;0.47;0.07;1.63;0.45;0.99;0.19;-0.88;0.50
Sep-14;Meulaboh;-0.02;0.97;1.12;-0.51;0.06;3.60;0.29;0.58
Sep-14;Aceh;0.63;0.32;1.10;-0.19;0.37;0.52;-0.10;0.49
Sep-14;Nasional;-0.17;0.51;0.77;-0.17;0.29;0.68;-0.24;0.27
Oktober 2014;Banda Aceh;0.45;-0.02;0.85;-0.07;0.29;0.00;0.19;0.38
Oktober 2014;Lhokseumawe;0.76;0.40;1.21;-0.02;0.00;0.00;-0.36;0.53
Oktober 2014;Meulaboh;2.01;0.59;0.86;-0.05;0.26;0.23;-0.18;0.82
Oktober 2014;Aceh;0.73;0.19;0.96;-0.05;0.20;0.03;-0.01;0.48
Oktober 2014;Nasional;0.25;0.46;0.18;0.15;0.15;0.27;0.23;0.47
Nov-14;Banda Aceh;1.76;0.03;0.61;-0.50;0.10;0.00;4.15;1.28
Nov-14;Lhokseumawe;2.10;0.15;1.55;-0.22;0.01;0.03;5.15;1.60
Nov-14;Meulaboh;2.14;0.01;0.42;-0.37;0.35;0.00;5.09;1.08
Nov-14;Aceh;1.91;0.06;0.87;-0.40;0.10;0.01;4.56;1.35
Nov-14;Nasional;2.15;0.71;0.49;-0.08;0.43;0.08;4.29;1.50
