Tahun;Banda Aceh;Lhokseumawe;Aceh;Nasional
1980;21.33;21.25;;15.97
1981;5.94;6.20;;7.09
1982;3.26;16.87;;9.69
1983;19.06;12.84;;11.46
1984;8.74;5.86;;8.76
1985;-0.48;2.93;;4.31
1986;14.47;18.54;;8.83
1987;8.95;9.18;;8.90
1988;4.85;10.62;;5.47
1989;8.25;6.19;;5.97
1990;8.85;10.12;;9.53
1991;6.87;8.42;;9.52
1992;2.24;5.15;;4.94
1993;9.83;9.49;;9.77
1994;8.97;13.27;;9.24
1995;9.16;11.16;;8.64
1996;6.66;3.45;;6.47
1997;9.90;8.44;;11.05
1998;79.01;79.66;;77.63
1999;5.57;6.61;4.98;2.01
2000;10.57;8.73;9.59;1.94
2001;16.60;11.67;14.03;12.55
2002;10.14;10.99;10.55;10.03
2003;3.50;4.53;4.03;
2004;6.97;7.36;7.08;6.40
2005;41.11;17.57;34.88;17.11
2006;9.54;11.47;9.98;6.60
2007;11.00;4.18;9.41;6.59
2008;10.27;13.78;11.92;11.06
2009;3.50;3.96;3.72;2.78
2010;4.64;7.19;5.86;6.96
2011;3.32;3.55;3.43;3.79
2012;0.66;0.39;0.22;1.79
2013;6.39;8.27;7.31;8.38
