Tahun;Gas Alam Cair / LNG (m3);Kondensat (Barrel)
1980;9.897.778;22.454.164
1981;Not Available;Not Available
1982;10.755.607;26.615.433
1983;11.622.537;29.915.143
1984;15.522.160;36.802.133
1985;Not Available;Not Available
1986;17.483.963;37.281.258
1987;Not Available;Not Available
1988;22.841.227;42.209.729
1989;23.862.509;45.357.329
1990;24.504.000;44.500.000
1991;25.925.691;42.886.072
1992;26.750.906;41.146.796
1993;27.050.625;38.818.931
1994;27.570.548;33.492.310
1995;25.269.280;31.891.187
1996;24.970.444;29.154.098
1997;25.525.153;22.379.342
1998;24.096.892;17.870.331
1999;24.259.488;15.459.482
2000;14.751.040;10.307.130
2001;14.821.473;10.332.836
2002;14.067.484;9.224.552
2003;14.309.099;9.374.944
2004;12.875.597;7.857.508
2005;9.340.583;5.108.894
2006;9.340.583;5.108.894
2007;6.224.063;3.196.150
2008;5.192.521;2.511.720
2009;4.790.922;2.068.082
2010;4.212.914;1.908.076
2011;2.588.156;1.571.217
2012;1.956.014;1.226.421
2013;;
