bps_kode_provinsi;bps_nama_provinsi;bps_kode_kabupaten_kota;bps_nama_kabupaten_kota;tahun;migas dan non migas;kontribusi PDRB;satuan
11;Aceh;1101;Kabupaten Simeulue;2000;Migas;0.41;%
11;Aceh;1101;Kabupaten Simeulue;2005;Migas;0.53;%
11;Aceh;1101;Kabupaten Simeulue;2010;Migas;0.71;%
11;Aceh;1101;Kabupaten Simeulue;2013;Migas;0.74;%
11;Aceh;1103;Kabupaten Aceh Singkil;2000;Migas;0.79;%
11;Aceh;1103;Kabupaten Aceh Singkil;2005;Migas;0.8;%
11;Aceh;1103;Kabupaten Aceh Singkil;2010;Migas;0.94;%
11;Aceh;1103;Kabupaten Aceh Singkil;2013;Migas;1.04;%
11;Aceh;1103;Kabupaten Aceh Selatan;2000;Migas;2.4;%
11;Aceh;1103;Kabupaten Aceh Selatan;2005;Migas;2.97;%
11;Aceh;1104;Kabupaten Aceh Selatan;2010;Migas;3.16;%
11;Aceh;1104;Kabupaten Aceh Selatan;2013;Migas;3.18;%
11;Aceh;1104;Kabupaten Aceh Tenggara;2000;Migas;0.82;%
11;Aceh;1104;Kabupaten Aceh Tenggara;2005;Migas;1.29;%
11;Aceh;1104;Kabupaten Aceh Tenggara;2010;Migas;1.95;%
11;Aceh;1104;Kabupaten Aceh Tenggara;2013;Migas;2.06;%
11;Aceh;1105;Kabupaten Aceh Timur;2000;Migas;4.48;%
11;Aceh;1105;Kabupaten Aceh Timur;2005;Migas;11.18;%
11;Aceh;1105;Kabupaten Aceh Timur;2010;Migas;8.78;%
11;Aceh;1105;Kabupaten Aceh Timur;2013;Migas;7.85;%
11;Aceh;1106;Kabupaten Aceh Tengah;2000;Migas;1.87;%
11;Aceh;1106;Kabupaten Aceh Tengah;2005;Migas;2.59;%
11;Aceh;1106;Kabupaten Aceh Tengah;2010;Migas;3.51;%
11;Aceh;1106;Kabupaten Aceh Tengah;2013;Migas;3.76;%
11;Aceh;1107;Kabupaten Aceh Barat;2000;Migas;2.29;%
11;Aceh;1107;Kabupaten Aceh Barat;2005;Migas;2.62;%
11;Aceh;1107;Kabupaten Aceh Barat;2010;Migas;3.93;%
11;Aceh;1107;Kabupaten Aceh Barat;2013;Migas;3.92;%
11;Aceh;1108;Kabupaten Aceh Besar;2000;Migas;3.86;%
11;Aceh;1108;Kabupaten Aceh Besar;2005;Migas;5.21;%
11;Aceh;1108;Kabupaten Aceh Besar;2010;Migas;7.51;%
11;Aceh;1108;Kabupaten Aceh Besar;2013;Migas;7.65;%
11;Aceh;1109;Kabupaten Pidie;2000;Migas;2.66;%
11;Aceh;1109;Kabupaten Pidie;2005;Migas;3.28;%
11;Aceh;1109;Kabupaten Pidie;2010;Migas;5.35;%
11;Aceh;1109;Kabupaten Pidie;2013;Migas;6.3;%
11;Aceh;1110;Kabupaten Bireuen;2000;Migas;4.23;%
11;Aceh;1110;Kabupaten Bireuen;2005;Migas;5.14;%
11;Aceh;1110;Kabupaten Bireuen;2010;Migas;7.57;%
11;Aceh;1110;Kabupaten Bireuen;2013;Migas;8.12;%
11;Aceh;1111;Kabupaten Aceh Utara;2000;Migas;36.63;%
11;Aceh;1111;Kabupaten Aceh Utara;2005;Migas;21.55;%
11;Aceh;1111;Kabupaten Aceh Utara;2010;Migas;14.73;%
11;Aceh;1111;Kabupaten Aceh Utara;2013;Migas;12.74;%
11;Aceh;1112;Kabupaten Aceh Barat Daya;2000;Migas;1.27;%
11;Aceh;1112;Kabupaten Aceh Barat Daya;2005;Migas;1.58;%
11;Aceh;1112;Kabupaten Aceh Barat Daya;2010;Migas;1.95;%
11;Aceh;1112;Kabupaten Aceh Barat Daya;2013;Migas;2.09;%
11;Aceh;1113;Kabupaten Gayo Lues;2000;Migas;0.65;%
11;Aceh;1113;Kabupaten Gayo Lues;2005;Migas;0.87;%
11;Aceh;1113;Kabupaten Gayo Lues;2010;Migas;1.12;%
11;Aceh;1113;Kabupaten Gayo Lues;2013;Migas;1.14;%
11;Aceh;1114;Kabupaten Aceh Tamiang;2000;Migas;2.78;%
11;Aceh;1114;Kabupaten Aceh Tamiang;2005;Migas;5.32;%
11;Aceh;1114;Kabupaten Aceh Tamiang;2010;Migas;3.05;%
11;Aceh;1114;Kabupaten Aceh Tamiang;2013;Migas;2.95;%
11;Aceh;1115;Kabupaten Nagan Raya;2000;Migas;1.77;%
11;Aceh;1115;Kabupaten Nagan Raya;2005;Migas;2.5;%
11;Aceh;1115;Kabupaten Nagan Raya;2010;Migas;3.32;%
11;Aceh;1115;Kabupaten Nagan Raya;2013;Migas;3.37;%
11;Aceh;1116;Kabupaten Aceh Jaya;2000;Migas;0.77;%
11;Aceh;1116;Kabupaten Aceh Jaya;2005;Migas;0.71;%
11;Aceh;1116;Kabupaten Aceh Jaya;2010;Migas;1.26;%
11;Aceh;1116;Kabupaten Aceh Jaya;2013;Migas;1.29;%
11;Aceh;1117;Kabupaten Bener Meriah;2000;Migas;1.32;%
11;Aceh;1117;Kabupaten Bener Meriah;2005;Migas;1.83;%
11;Aceh;1117;Kabupaten Bener Meriah;2010;Migas;2.33;%
11;Aceh;1117;Kabupaten Bener Meriah;2013;Migas;2.43;%
11;Aceh;1118;Kabupaten Pidie Jaya;2000;Migas;1.04;%
11;Aceh;1118;Kabupaten Pidie Jaya;2005;Migas;1.27;%
11;Aceh;1118;Kabupaten Pidie Jaya;2010;Migas;1.62;%
11;Aceh;1118;Kabupaten Pidie Jaya;2013;Migas;1.67;%
11;Aceh;1171;Kota Banda Aceh;2000;Migas;3.27;%
11;Aceh;1171;Kota Banda Aceh;2005;Migas;3.81;%
11;Aceh;1171;Kota Banda Aceh;2010;Migas;10.15;%
11;Aceh;1171;Kota Banda Aceh;2013;Migas;11.98;%
11;Aceh;1172;Kota Sabang;2000;Migas;0.29;%
11;Aceh;1172;Kota Sabang;2005;Migas;0.4;%
11;Aceh;1172;Kota Sabang;2010;Migas;0.69;%
11;Aceh;1172;Kota Sabang;2013;Migas;0.67;%
11;Aceh;1173;Kota Langsa;2000;Migas;1.62;%
11;Aceh;1173;Kota Langsa;2005;Migas;1.99;%
11;Aceh;1173;Kota Langsa;2010;Migas;2.38;%
11;Aceh;1173;Kota Langsa;2013;Migas;2.41;%
11;Aceh;1174;Kota Lhoksemawe;2000;Migas;24.3;%
11;Aceh;1174;Kota Lhoksemawe;2005;Migas;21.95;%
11;Aceh;1174;Kota Lhoksemawe;2010;Migas;13.52;%
11;Aceh;1174;Kota Lhoksemawe;2013;Migas;12.14;%
11;Aceh;1175;Kota Subulussalam;2000;Migas;0.48;%
11;Aceh;1175;Kota Subulussalam;2005;Migas;0.6;%
11;Aceh;1175;Kota Subulussalam;2010;Migas;0.47;%
11;Aceh;1175;Kota Subulussalam;2013;Migas;0.48;%
11;Aceh;1101;Kabupaten Simeulue;2000;NonMigas;0.89;%
11;Aceh;1101;Kabupaten Simeulue;2005;NonMigas;0.93;%
11;Aceh;1101;Kabupaten Simeulue;2010;NonMigas;0.87;%
11;Aceh;1101;Kabupaten Simeulue;2013;NonMigas;0.85;%
11;Aceh;1103;Kabupaten Aceh Singkil;2000;NonMigas;1.71;%
11;Aceh;1103;Kabupaten Aceh Singkil;2005;NonMigas;1.41;%
11;Aceh;1103;Kabupaten Aceh Singkil;2010;NonMigas;1.14;%
11;Aceh;1103;Kabupaten Aceh Singkil;2013;NonMigas;1.21;%
11;Aceh;1103;Kabupaten Aceh Selatan;2000;NonMigas;5.16;%
11;Aceh;1103;Kabupaten Aceh Selatan;2005;NonMigas;5.18;%
11;Aceh;1104;Kabupaten Aceh Selatan;2010;NonMigas;3.82;%
11;Aceh;1104;Kabupaten Aceh Selatan;2013;NonMigas;3.68;%
11;Aceh;1104;Kabupaten Aceh Tenggara;2000;NonMigas;1.76;%
11;Aceh;1104;Kabupaten Aceh Tenggara;2005;NonMigas;2.26;%
11;Aceh;1104;Kabupaten Aceh Tenggara;2010;NonMigas;2.36;%
11;Aceh;1104;Kabupaten Aceh Tenggara;2013;NonMigas;2.38;%
11;Aceh;1105;Kabupaten Aceh Timur;2000;NonMigas;6.91;%
11;Aceh;1105;Kabupaten Aceh Timur;2005;NonMigas;6.57;%
11;Aceh;1105;Kabupaten Aceh Timur;2010;NonMigas;6.49;%
11;Aceh;1105;Kabupaten Aceh Timur;2013;NonMigas;6.23;%
11;Aceh;1106;Kabupaten Aceh Tengah;2000;NonMigas;4.03;%
11;Aceh;1106;Kabupaten Aceh Tengah;2005;NonMigas;4.52;%
11;Aceh;1106;Kabupaten Aceh Tengah;2010;NonMigas;4.25;%
11;Aceh;1106;Kabupaten Aceh Tengah;2013;NonMigas;4.35;%
11;Aceh;1107;Kabupaten Aceh Barat;2000;NonMigas;4.94;%
11;Aceh;1107;Kabupaten Aceh Barat;2005;NonMigas;4.58;%
11;Aceh;1107;Kabupaten Aceh Barat;2010;NonMigas;4.76;%
11;Aceh;1107;Kabupaten Aceh Barat;2013;NonMigas;4.54;%
11;Aceh;1108;Kabupaten Aceh Besar;2000;NonMigas;8.32;%
11;Aceh;1108;Kabupaten Aceh Besar;2005;NonMigas;9.1;%
11;Aceh;1108;Kabupaten Aceh Besar;2010;NonMigas;9.1;%
11;Aceh;1108;Kabupaten Aceh Besar;2013;NonMigas;8.85;%
11;Aceh;1109;Kabupaten Pidie;2000;NonMigas;5.72;%
11;Aceh;1109;Kabupaten Pidie;2005;NonMigas;5.73;%
11;Aceh;1109;Kabupaten Pidie;2010;NonMigas;6.48;%
11;Aceh;1109;Kabupaten Pidie;2013;NonMigas;7.29;%
11;Aceh;1110;Kabupaten Bireuen;2000;NonMigas;9.1;%
11;Aceh;1110;Kabupaten Bireuen;2005;NonMigas;8.99;%
11;Aceh;1110;Kabupaten Bireuen;2010;NonMigas;9.17;%
11;Aceh;1110;Kabupaten Bireuen;2013;NonMigas;9.39;%
11;Aceh;1111;Kabupaten Aceh Utara;2000;NonMigas;12.23;%
11;Aceh;1111;Kabupaten Aceh Utara;2005;NonMigas;10.66;%
11;Aceh;1111;Kabupaten Aceh Utara;2010;NonMigas;9.38;%
11;Aceh;1111;Kabupaten Aceh Utara;2013;NonMigas;8.49;%
11;Aceh;1112;Kabupaten Aceh Barat Daya;2000;NonMigas;2.72;%
11;Aceh;1112;Kabupaten Aceh Barat Daya;2005;NonMigas;2.76;%
11;Aceh;1112;Kabupaten Aceh Barat Daya;2010;NonMigas;2.36;%
11;Aceh;1112;Kabupaten Aceh Barat Daya;2013;NonMigas;2.42;%
11;Aceh;1113;Kabupaten Gayo Lues;2000;NonMigas;1.39;%
11;Aceh;1113;Kabupaten Gayo Lues;2005;NonMigas;1.52;%
11;Aceh;1113;Kabupaten Gayo Lues;2010;NonMigas;1.36;%
11;Aceh;1113;Kabupaten Gayo Lues;2013;NonMigas;1.32;%
11;Aceh;1114;Kabupaten Aceh Tamiang;2000;NonMigas;5.01;%
11;Aceh;1114;Kabupaten Aceh Tamiang;2005;NonMigas;4.73;%
11;Aceh;1114;Kabupaten Aceh Tamiang;2010;NonMigas;3.33;%
11;Aceh;1114;Kabupaten Aceh Tamiang;2013;NonMigas;3.11;%
11;Aceh;1115;Kabupaten Nagan Raya;2000;NonMigas;3.82;%
11;Aceh;1115;Kabupaten Nagan Raya;2005;NonMigas;4.37;%
11;Aceh;1115;Kabupaten Nagan Raya;2010;NonMigas;4.03;%
11;Aceh;1115;Kabupaten Nagan Raya;2013;NonMigas;3.9;%
11;Aceh;1116;Kabupaten Aceh Jaya;2000;NonMigas;1.67;%
