bps_kode_provinsi;bps_nama_provinsi;tahun;migas dan non migas;ADHB;ADHK;satuan
11;Aceh;1975;Migas;0.084;0.084;Juta Rupiah
11;Aceh;1976;Migas;0.104;0.094;Juta Rupiah
11;Aceh;1977;Migas;0.121;0.096;Juta Rupiah
11;Aceh;1978;Migas;0.173;0.123;Juta Rupiah
11;Aceh;1979;Migas;0.354;0.175;Juta Rupiah
11;Aceh;1980;Migas;0.651;0.205;Juta Rupiah
11;Aceh;1981;Migas;0.762;0.223;Juta Rupiah
11;Aceh;1982;Migas;0.862;0.23;Juta Rupiah
11;Aceh;1983;Migas;1.484;1.484;Juta Rupiah
11;Aceh;1984;Migas;1.843;1.773;Juta Rupiah
11;Aceh;1985;Migas;1.784;1.76;Juta Rupiah
11;Aceh;1986;Migas;1.866;1.751;Juta Rupiah
11;Aceh;1987;Migas;1.977;1.8;Juta Rupiah
11;Aceh;1988;Migas;1.869;1.544;Juta Rupiah
11;Aceh;1989;Migas;2.018;1.632;Juta Rupiah
11;Aceh;1990;Migas;2.119;1.673;Juta Rupiah
11;Aceh;1991;Migas;2.297;1.735;Juta Rupiah
11;Aceh;1992;Migas;2.45;1.782;Juta Rupiah
11;Aceh;1993;Migas;3.019;3.019;Juta Rupiah
11;Aceh;1994;Migas;3.075;3.015;Juta Rupiah
11;Aceh;1995;Migas;3.389;2.896;Juta Rupiah
11;Aceh;1996;Migas;3.721;2.914;Juta Rupiah
11;Aceh;1997;Migas;4.259;2.858;Juta Rupiah
11;Aceh;1998;Migas;6.125;2.549;Juta Rupiah
11;Aceh;1999;Migas;6.567;2.421;Juta Rupiah
11;Aceh;2000;Migas;10.053;10.053;Juta Rupiah
11;Aceh;2001;Migas;9.153;8.571;Juta Rupiah
11;Aceh;2002;Migas;10.491;10.163;Juta Rupiah
11;Aceh;2003;Migas;11.525;10.591;Juta Rupiah
11;Aceh;2004;Migas;12.356;9.906;Juta Rupiah
11;Aceh;2005;Migas;14.126;9.001;Juta Rupiah
11;Aceh;2006;Migas;17.042;8.873;Juta Rupiah
11;Aceh;2007;Migas;16.831;8.519;Juta Rupiah
11;Aceh;2008;Migas;17.128;7.941;Juta Rupiah
11;Aceh;2009;Migas;16.498;7.384;Juta Rupiah
11;Aceh;2010;Migas;17.61;7.365;Juta Rupiah
11;Aceh;2011;Migas;19.039;7.549;Juta Rupiah
11;Aceh;2012;Migas;20.255;7.773;Juta Rupiah
11;Aceh;2013;Migas;21.504;7.933;Juta Rupiah
11;Aceh;1975;NonMigas;0.07;0.07;Juta Rupiah
11;Aceh;1976;NonMigas;0.093;0.084;Juta Rupiah
11;Aceh;1977;NonMigas;0.111;0.087;Juta Rupiah
11;Aceh;1978;NonMigas;0.124;0.086;Juta Rupiah
11;Aceh;1979;NonMigas;0.163;0.088;Juta Rupiah
11;Aceh;1980;NonMigas;0.219;0.097;Juta Rupiah
11;Aceh;1981;NonMigas;0.276;0.11;Juta Rupiah
11;Aceh;1982;NonMigas;0.337;0.118;Juta Rupiah
11;Aceh;1983;NonMigas;0.443;0.443;Juta Rupiah
11;Aceh;1984;NonMigas;0.5;0.46;Juta Rupiah
11;Aceh;1985;NonMigas;0.555;0.456;Juta Rupiah
11;Aceh;1986;NonMigas;0.596;0.471;Juta Rupiah
11;Aceh;1987;NonMigas;0.646;0.468;Juta Rupiah
11;Aceh;1988;NonMigas;0.707;0.473;Juta Rupiah
11;Aceh;1989;NonMigas;0.775;0.498;Juta Rupiah
11;Aceh;1990;NonMigas;0.856;0.519;Juta Rupiah
11;Aceh;1991;NonMigas;0.981;0.547;Juta Rupiah
11;Aceh;1992;NonMigas;1.132;0.585;Juta Rupiah
11;Aceh;1993;NonMigas;1.339;1.339;Juta Rupiah
11;Aceh;1994;NonMigas;1.583;1.448;Juta Rupiah
11;Aceh;1995;NonMigas;1.855;1.49;Juta Rupiah
11;Aceh;1996;NonMigas;2.093;1.576;Juta Rupiah
11;Aceh;1997;NonMigas;2.276;1.63;Juta Rupiah
11;Aceh;1998;NonMigas;2.696;1.509;Juta Rupiah
11;Aceh;1999;NonMigas;3.316;1.476;Juta Rupiah
11;Aceh;2000;NonMigas;4.995;4.995;Juta Rupiah
11;Aceh;2001;NonMigas;5.161;4.75;Juta Rupiah
11;Aceh;2002;NonMigas;5.878;5.064;Juta Rupiah
11;Aceh;2003;NonMigas;6.403;5.186;Juta Rupiah
11;Aceh;2004;NonMigas;7.398;5.462;Juta Rupiah
11;Aceh;2005;NonMigas;8.793;5.589;Juta Rupiah
11;Aceh;2006;NonMigas;10.81;5.843;Juta Rupiah
11;Aceh;2007;NonMigas;11.771;6.161;Juta Rupiah
11;Aceh;2008;NonMigas;12.625;6.177;Juta Rupiah
11;Aceh;2009;NonMigas;13.5;6.319;Juta Rupiah
11;Aceh;2010;NonMigas;14.686;6.468;Juta Rupiah
11;Aceh;2011;NonMigas;15.979;6.684;Juta Rupiah
11;Aceh;2012;NonMigas;17.198;6.943;Juta Rupiah
11;Aceh;2013;NonMigas;18.596;7.166;Juta Rupiah
