Tahun;10-14;15-19;20-29;30-39;40-59;60+;Jumlah
1971a;3.47;10.47;25.26;24.58;32.49;3.73;100.00
1980a;3.11;10.63;27.47;23.10;28.63;7.06;100.00
1985a;4.27;8.99;27.80;24.04;28.00;6.90;100.00
1990a;3.29;10.39;27.05;25.04;27.21;7.02;100.00
1993a;4.49;14.13;29.06;28.62;34.89;;111.19
1996a;1.39;9.38;24.96;26.86;30.40;7.01;100.00
1997a;2.34;9.83;24.53;24.98;31.03;7.29;100.00
1998a;3.94;10.30;24.11;23.23;31.67;6.75;100.00
2007b;;4.10;25.07;28.70;36.04;6.09;100.00
2008b;;4.75;25.83;27.83;33.75;7.84;100.00
2009b;;4.27;26.63;27.54;33.97;7.59;100.00
2010b;;3.67;25.14;29.32;34.97;6.89;100.00
2011b;;4.47;26.15;29.01;34.74;5.62;100.00
2012b;;3.77;24.03;30.08;35.51;6.60;100.00
2013b;;3.41;23.71;29.43;36.60;6.85;100.00
