Tahun;SD Sekolah;SD Murid;SD Guru;SLTP Sekolah;SLTP Murid;SLTP Guru;SLTA Sekolah;SLTA Murid;SLTA Guru
1971;868;185.217;4.996;167;23.335;897;73;10.649;388
1981;2.111;426.104;13.963;317;82.572;5.332;147;46.483;3.098
1985;2.748;508.440;19.818;439;127.709;8.136;189;72.342;4.827
1986;2.821;510.349;21.996;466;132.609;6.132;189;73.883;2.495
1987;2.895;521.316;23.175;477;137.131;6.796;196;77.767;2.905
1988;2.954;622.041;23.599;497;127.046;6.344;214;83.859;3.681
1989;2.967;536.731;23.616;498;118.050;6.540;224;81.358;3.988
1990;2.993;510.766;24.501;471;108.894;8.976;240;80.792;4.709
1991;3.033;513.115;24.300;471;104.285;7.281;239;71.262;4.580
1992;3.092;519.775;24.650;488;106.090;7.250;250;67.976;4.850
1993;3.092;513.786;24.664;457;114.757;9.582;245;65.097;6.603
1994;3.159;555.173;25.740;471;125.125;9.141;223;52.519;5.141
1995;3.158;549.914;25.542;474;135.664;9.390;218;56.661;5.083
1996;3.166;569.652;25.478;490;142.721;10.189;220;63.285;5.118
1997;3.196;582.470;25.275;498;151.057;9.758;223;148.806;5.109
1998;3.271;600.584;25.860;506;154.015;10.290;232;153.995;5.579
1999;3.220;583.763;24.397;499;157.109;10.228;251;79.065;5.620
2000;3.273;601.598;26.075;515;163.168;10.845;235;80.905;5.843
2001;3.221;631.697;28.840;528;163.168;10.845;215;79.736;5.843
2002;3.307;573.028;26.570;529;166.130;10.480;235;80.102;6.857
2003;3.244;575.510;24.283;566;184.350;8.861;256;99.571;6.810
2004;3.271;579.804;29.774;572;175.529;10.849;292;173.892;7.956
2005;3.291;547.436;27.252;585;195.955;10.714;288;125.104;6.655
2006;3.259;526.831;27.641;633;208.973;10.102;420;162.028;7.441
2007;3.278;537.287;23.737;701;167.533;;606;193.217;
2008;3.794;;;674;198.283;;484;143.085;
2009;3.276;516.477;44.237;827;200.077;18.673;478;172.014;19.032
2010;3.323;519.956;46.852;885;201.403;20.293;531;182.566;17.261
2011;3.321;507.903;46.962;923;201.240;20.990;547;184.876;17.848
2012;3.353;496.193;47.789;956;199.693;21.686;595;173.320;23.377
