Tahun;MIN/S Sekolah;MIN/S Murid;MIN/S Guru;MTsN/S Sekolah;MTsN/S Murid;MTsN/S Guru;MAN/S Sekolah;MAN/S Murid;MAN/S Guru
1972;528;109.820;2.597;59;3.580;157;8;258;26
1974;555;93.678;2.649;58;5.014;433;9;644;66
1981;553;93.447;3.546;103;12.180;1.039;33;4.972;447
1984;552;96.916;3.600;114;20.118;1.345;43;6.038;534
1985;514;88.475;3.607;108;20.516;1.344;44;6.106;613
1986;542;89.700;3.653;126;26.258;1.595;51;8.631;706
1987;538;87.357;3.895;134;28.696;1.738;49;9.302;842
1988;546;89.715;4.179;139;28.593;1.897;53;10.440;843
1989;549;86.468;4.243;144;29.613;1.924;54;10.879;897
1993;534;94.913;3.802;154;29.186;2.250;54;11.023;1.061
1996;538;91.610;3.669;159;32.037;2.571;52;10.595;1.094
1998;519;91.633;5.881;190;42.624;3.359;71;14.082;1.432
1999;569;101.986;6.004;213;54.378;4.359;102;20.236;2.207
2000;520;103.367;7.392;201;83.225;3.412;105;22.107;2.254
2001;547;106.681;6.452;231;59.511;4.357;100;23.963;2.327
2002;554;106.667;6.470;233;59.511;3.140;117;11.582;2.804
2003;547;111.384;6.426;228;59.511;3.849;114;34.152;2.756
2004;564;122.764;7.372;266;67.336;6.008;154;36.209;3.720
2005;537;114.507;8.185;281;65.645;5.900;159;38.319;3.327
2006;550;114.841;8.185;295;64.852;5.900;163;40.145;3.327
2007;549;112.764;9.149;324;68.153;6.707;196;40.093;3.755
2008;558;113.843;9.874;316;66.417;7.145;189;38.953;4.233
2009;570;117.876;11.280;343;74.237;7.716;196;42.915;4.272
2010;566;114.683;10.827;345;76.817;7.007;196;37.679;4.066
2011;565;120.912;11.049;452;72.418;6.877;194;42.599;5.074
