Jenjang yang Ditamatkan;Jenis Kelamin;1971;1980;1990;1997;1998;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013
BELUM TAMAT SD;Laki-Laki;58,74;50,35;39,33;29,03;29,54;19,48;16,97;23,86;21,75;21,34;21,13;20,23;19,16;18,52;17,66;17,49
BELUM TAMAT SD;Perempuan;73,73;69,19;47,57;35,5;35,56;23,6;18,05;28,13;25,98;25,68;27,13;24,6;24,13;22,09;22,06;21,58
BELUM TAMAT SD;Jumlah;66,32;64,27;43,48;32,32;32,58;21,54;18,24;26,03;23,9;23,56;24,2;22,51;21,68;20,31;19,88;19,55
SEKOLAH DASAR;Laki-Laki;31,87;24,96;30,27;33,69;33,1;29,27;28,53;29,92;30,08;28,2;27,3;26,75;25,9;27,41;27,02;27,35
SEKOLAH DASAR;Perempuan;21,74;21,52;29,14;32,35;33,99;31,33;30,19;30,54;30,78;28,4;26,4;26,08;26,45;27,69;27,9;28,1
SEKOLAH DASAR;Jumlah;26,75;23,24;29,7;33,01;33,04;30,3;30,58;30,24;30,44;28,3;26,84;26,4;26,18;27,55;27,46;27,73
SLTP;Laki-Laki;6,32;9,35;15,49;18,22;17,95;23,61;23,76;21,38;22,21;21,94;21,77;22,08;21,96;22,15;21,83;20,79
SLTP;Perempuan;3,45;6,17;13,08;16,31;15,86;24,01;23,12;20,27;20,84;20,72;20,37;21,27;20,29;20,5;20,15;19,41
SLTP;Jumlah;4,87;7,87;14,28;17,24;16,89;23,81;24,4;20,81;21,51;21,32;21,05;21,65;21,11;21,32;20,98;20,1
SLTA;Laki-Laki;2,73;5,86;13,06;16,2;16,29;24,45;24,8;20,77;21,65;22,87;24,25;24,97;25,92;26,2;27,26;28,49
SLTA;Perempuan;1,02;2,99;9,12;13,49;13,05;18,44;19,43;16,61;17,52;18,71;19,18;20,62;20,37;21,42;21,51;22,23
SLTA;Jumlah;1,87;4,41;11,08;14,82;14,65;21,45;22,98;18,66;19,54;20,74;21,65;22,7;23,1;23,8;24,36;25,34
SLTA +;Laki-Laki;0,31;0,48;1,85;2,86;3,13;3,19;3,89;4,07;4,3;5,64;5,55;5,97;7,05;5,72;6,24;5,88
SLTA +;Perempuan;0,06;0,13;1,09;2,35;2,53;2,62;3,89;4,45;4,87;6,49;6,93;7,44;6,46;8,31;8,39;8,68
SLTA +;Jumlah;0,19;0,3;1,46;2,61;2,83;2,91;3,79;4,26;4,6;4,08;6,26;6,74;7,92;7,02;7,31;7,28
