bps_kode_provinsi;bps_nama_provinsi;bps_kode_kabupaten_kota;bps_nama_kabupaten_kota;tahun;migas dan non migas;kontribusi PDRB;satuan
11;Aceh;1101;Kabupaten Simeulue;2000;Migas;2.71;Juta Rupiah
11;Aceh;1101;Kabupaten Simeulue;2005;Migas;3.41;Juta Rupiah
11;Aceh;1101;Kabupaten Simeulue;2010;Migas;6.78;Juta Rupiah
11;Aceh;1101;Kabupaten Simeulue;2013;Migas;8.71;Juta Rupiah
11;Aceh;1103;Kabupaten Aceh Singkil;2000;Migas;4.12;Juta Rupiah
11;Aceh;1103;Kabupaten Aceh Singkil;2005;Migas;4.55;Juta Rupiah
11;Aceh;1103;Kabupaten Aceh Singkil;2010;Migas;7.03;Juta Rupiah
11;Aceh;1103;Kabupaten Aceh Singkil;2013;Migas;9.27;Juta Rupiah
11;Aceh;1103;Kabupaten Aceh Selatan;2000;Migas;4.71;Juta Rupiah
11;Aceh;1103;Kabupaten Aceh Selatan;2005;Migas;7.79;Juta Rupiah
11;Aceh;1104;Kabupaten Aceh Selatan;2010;Migas;11.94;Juta Rupiah
11;Aceh;1104;Kabupaten Aceh Selatan;2013;Migas;15.75;Juta Rupiah
11;Aceh;1104;Kabupaten Aceh Tenggara;2000;Migas;2.12;Juta Rupiah
11;Aceh;1104;Kabupaten Aceh Tenggara;2005;Migas;3.84;Juta Rupiah
11;Aceh;1104;Kabupaten Aceh Tenggara;2010;Migas;8.34;Juta Rupiah
11;Aceh;1104;Kabupaten Aceh Tenggara;2013;Migas;10.87;Juta Rupiah
11;Aceh;1105;Kabupaten Aceh Timur;2000;Migas;5.23;Juta Rupiah
11;Aceh;1105;Kabupaten Aceh Timur;2005;Migas;18.46;Juta Rupiah
11;Aceh;1105;Kabupaten Aceh Timur;2010;Migas;18.64;Juta Rupiah
11;Aceh;1105;Kabupaten Aceh Timur;2013;Migas;21.17;Juta Rupiah
11;Aceh;1106;Kabupaten Aceh Tengah;2000;Migas;4.43;Juta Rupiah
11;Aceh;1106;Kabupaten Aceh Tengah;2005;Migas;8.11;Juta Rupiah
11;Aceh;1106;Kabupaten Aceh Tengah;2010;Migas;15.3;Juta Rupiah
11;Aceh;1106;Kabupaten Aceh Tengah;2013;Migas;19.9;Juta Rupiah
11;Aceh;1107;Kabupaten Aceh Barat;2000;Migas;4.56;Juta Rupiah
11;Aceh;1107;Kabupaten Aceh Barat;2005;Migas;8.76;Juta Rupiah
11;Aceh;1107;Kabupaten Aceh Barat;2010;Migas;17.32;Juta Rupiah
11;Aceh;1107;Kabupaten Aceh Barat;2013;Migas;20.58;Juta Rupiah
11;Aceh;1108;Kabupaten Aceh Besar;2000;Migas;5.06;Juta Rupiah
11;Aceh;1108;Kabupaten Aceh Besar;2005;Migas;8.83;Juta Rupiah
11;Aceh;1108;Kabupaten Aceh Besar;2010;Migas;16.35;Juta Rupiah
11;Aceh;1108;Kabupaten Aceh Besar;2013;Migas;19.63;Juta Rupiah
11;Aceh;1109;Kabupaten Pidie;2000;Migas;2.68;Juta Rupiah
11;Aceh;1109;Kabupaten Pidie;2005;Migas;4.67;Juta Rupiah
11;Aceh;1109;Kabupaten Pidie;2010;Migas;10.79;Juta Rupiah
11;Aceh;1109;Kabupaten Pidie;2013;Migas;15.56;Juta Rupiah
11;Aceh;1110;Kabupaten Bireuen;2000;Migas;4.53;Juta Rupiah
11;Aceh;1110;Kabupaten Bireuen;2005;Migas;7.35;Juta Rupiah
11;Aceh;1110;Kabupaten Bireuen;2010;Migas;14.87;Juta Rupiah
11;Aceh;1110;Kabupaten Bireuen;2013;Migas;19.02;Juta Rupiah
11;Aceh;1111;Kabupaten Aceh Utara;2000;Migas;27.17;Juta Rupiah
11;Aceh;1111;Kabupaten Aceh Utara;2005;Migas;21.96;Juta Rupiah
11;Aceh;1111;Kabupaten Aceh Utara;2010;Migas;21.26;Juta Rupiah
11;Aceh;1111;Kabupaten Aceh Utara;2013;Migas;21.54;Juta Rupiah
11;Aceh;1112;Kabupaten Aceh Barat Daya;2000;Migas;4.26;Juta Rupiah
11;Aceh;1112;Kabupaten Aceh Barat Daya;2005;Migas;6.87;Juta Rupiah
11;Aceh;1112;Kabupaten Aceh Barat Daya;2010;Migas;11.81;Juta Rupiah
11;Aceh;1112;Kabupaten Aceh Barat Daya;2013;Migas;15.43;Juta Rupiah
11;Aceh;1113;Kabupaten Gayo Lues;2000;Migas;3.82;Juta Rupiah
11;Aceh;1113;Kabupaten Gayo Lues;2005;Migas;6.06;Juta Rupiah
